""	"HFe_d5_rep1_RAW"	"HFe_d5_rep2_RAW"	"HFe_d5_rep3_RAW"	"LFe_d5_rep1_RAW"	"LFe_d5_rep2_RAW"	"MFe_d5_rep1_RAW"	"MFe_d5_rep2_RAW"	"HFe_d5_rep1_CPM"	"HFe_d5_rep2_CPM"	"HFe_d5_rep3_CPM"	"LFe_d5_rep1_CPM"	"LFe_d5_rep2_CPM"	"MFe_d5_rep1_CPM"	"MFe_d5_rep2_CPM"	"HFe_d5_rep1_logCPM"	"HFe_d5_rep2_logCPM"	"HFe_d5_rep3_logCPM"	"LFe_d5_rep1_logCPM"	"LFe_d5_rep2_logCPM"	"MFe_d5_rep1_logCPM"	"MFe_d5_rep2_logCPM"	"locus_tag"	"geneID"	"feature"	"start"	"end"	"strand"	"seqname"	"product"	"note"	"dbxref"
"Tery_2478"	603	984	795	673	746	1564	566	"   165.37"	"   151.37"	"   145.67"	"   221.73"	"   135.49"	"   280.18"	"   159.55"	" 7.38"	" 7.25"	" 7.20"	" 7.80"	" 7.09"	" 8.14"	" 7.33"	"Tery_2478"	"gene2500"	"CDS"	3812518	3815760	"-"	"CP000393.1"	"Protein splicing site"	"KEGG: ava:Ava_4588 3-beta hydroxysteroid dehydrogenase/isomerase~TIGRFAM: Protein splicing (intein) site~PFAM: NAD-dependent epimerase/dehydratase 3-beta hydroxysteroid dehydrogenase/isomerase  Male sterility-like~SMART: Hedgehog/intein hint domain-like Hedgehog/intein hint-like"	"InterPro:IPR001509,InterPro:IPR002225,InterPro:IPR003586,InterPro:IPR003587,InterPro:IPR004042,InterPro:IPR006141,InterPro:IPR006142,InterPro:IPR013120,NCBI_GP:ABG51687.1"
"Tery_2479"	225	402	325	178	244	255	199	"    61.71"	"    61.84"	"    59.55"	"    58.65"	"    44.32"	"    45.68"	"    56.10"	" 5.97"	" 5.97"	" 5.92"	" 5.90"	" 5.50"	" 5.54"	" 5.84"	"Tery_2479"	"gene2501"	"CDS"	3816901	3817908	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ana:alr8534 unknown protein"	"NCBI_GP:ABG51688.1"
"Tery_2481"	287	509	406	450	665	733	318	"    78.71"	"    78.30"	"    74.39"	"   148.26"	"   120.78"	"   131.31"	"    89.64"	" 6.32"	" 6.31"	" 6.24"	" 7.22"	" 6.93"	" 7.05"	" 6.50"	"Tery_2481"	"gene2503"	"CDS"	3819627	3823592	"-"	"CP000393.1"	"TPR repeat"	"PFAM: TPR repeat~SMART: Tetratricopeptide region~KEGG: ana:alr0963 unknown protein"	"InterPro:IPR001440,InterPro:IPR013026,NCBI_GP:ABG51689.1"
"Tery_2482"	4	1	2	21	37	13	12	"     1.10"	"     0.15"	"     0.37"	"     6.92"	"     6.72"	"     2.33"	"     3.38"	" 1.07"	" 0.21"	" 0.45"	" 2.99"	" 2.95"	" 1.74"	" 2.13"	"Tery_2482"	"gene2504"	"CDS"	3825145	3825366	"-"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG51690.1"
"Tery_2483"	40	167	71	11739	24142	15391	4037	"    10.97"	"    25.69"	"    13.01"	"  3867.62"	"  4384.86"	"  2757.16"	"  1137.97"	" 3.58"	" 4.74"	" 3.81"	"11.92"	"12.10"	"11.43"	"10.15"	"Tery_2483"	"gene2505"	"CDS"	3826052	3827158	"+"	"CP000393.1"	"photosystem antenna protein-like"	"PFAM: photosystem antenna protein-like~KEGG: ana:all4002 photosystem II CP43 protein PsbC homolog"	"InterPro:IPR000932,NCBI_GP:ABG51691.1"
"Tery_2484"	32	172	57	14120	22759	25389	4817	"     8.78"	"    26.46"	"    10.44"	"  4652.08"	"  4133.67"	"  4548.21"	"  1357.84"	" 3.29"	" 4.78"	" 3.52"	"12.18"	"12.01"	"12.15"	"10.41"	"Tery_2484"	"gene2506"	"CDS"	3827539	3828570	"+"	"CP000393.1"	"photosystem antenna protein-like"	"PFAM: photosystem antenna protein-like~KEGG: ana:all4003 photosystem II CP43 protein PsbC homolog"	"InterPro:IPR000169,InterPro:IPR000932,NCBI_GP:ABG51692.1"
"Tery_2485"	28	185	43	13726	26958	19219	4607	"     7.68"	"    28.46"	"     7.88"	"  4522.27"	"  4896.33"	"  3442.91"	"  1298.65"	" 3.12"	" 4.88"	" 3.15"	"12.14"	"12.26"	"11.75"	"10.34"	"Tery_2485"	"gene2507"	"CDS"	3828573	3830141	"+"	"CP000393.1"	"photosystem antenna protein-like"	"PFAM: photosystem antenna protein-like photosystem I reaction centre%2C subunit XI PsaL~KEGG: ana:all4002 photosystem II CP43 protein PsbC homolog"	"InterPro:IPR000932,InterPro:IPR003757,NCBI_GP:ABG51693.1"
"Tery_2486"	70	133	127	1864	3005	2202	409	"    19.20"	"    20.46"	"    23.27"	"   614.13"	"   545.79"	"   394.47"	"   115.29"	" 4.34"	" 4.42"	" 4.60"	" 9.26"	" 9.09"	" 8.63"	" 6.86"	"Tery_2486"	"gene2508"	"CDS"	3831730	3832440	"+"	"CP000393.1"	"Phycobilisome linker polypeptide"	"PFAM: Phycobilisome linker polypeptide~KEGG: syn:sll1471 phycobilisome rod-core linker polypeptide"	"InterPro:IPR001297,NCBI_GP:ABG51694.1"
"Tery_2488"	4	11	7	9	2	12	6	"     1.10"	"     1.69"	"     1.28"	"     2.97"	"     0.36"	"     2.15"	"     1.69"	" 1.07"	" 1.43"	" 1.19"	" 1.99"	" 0.45"	" 1.66"	" 1.43"	"Tery_2488"	"gene2510"	"CDS"	3834377	3835534	"-"	"CP000393.1"	"L-lactate dehydrogenase (cytochrome)"	"PFAM: FMN-dependent alpha-hydroxy acid dehydrogenase~KEGG: ret:RHE_CH00425 L-lactate dehydrogenase (cytochrome) protein"	"InterPro:IPR000262,InterPro:IPR003009,InterPro:IPR008259,NCBI_GP:ABG51695.1"
"Tery_2490"	18	70	50	28	73	48	25	"     4.94"	"    10.77"	"     9.16"	"     9.23"	"    13.26"	"     8.60"	"     7.05"	" 2.57"	" 3.56"	" 3.35"	" 3.35"	" 3.83"	" 3.26"	" 3.01"	"Tery_2490"	"gene2512"	"CDS"	3836241	3836726	"-"	"CP000393.1"	"phosphoribosyl-AMP cyclohydrolase"	"PFAM: phosphoribosyl-AMP cyclohydrolase~KEGG: pub:SAR11_1246 phosphoribosyl-AMP cyclohydrolase"	"InterPro:IPR002496,NCBI_GP:ABG51697.1"
"Tery_2491"	19	56	32	29	52	48	29	"     5.21"	"     8.61"	"     5.86"	"     9.55"	"     9.44"	"     8.60"	"     8.17"	" 2.63"	" 3.27"	" 2.78"	" 3.40"	" 3.38"	" 3.26"	" 3.20"	"Tery_2491"	"gene2513"	"CDS"	3837039	3837518	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: tel:tlr1091 unknown protein"	"NCBI_GP:ABG51698.1"
"Tery_2492"	359	666	690	584	892	1179	629	"    98.46"	"   102.45"	"   126.43"	"   192.41"	"   162.01"	"   211.21"	"   177.31"	" 6.64"	" 6.69"	" 6.99"	" 7.60"	" 7.35"	" 7.73"	" 7.48"	"Tery_2492"	"gene2514"	"CDS"	3837647	3841321	"-"	"CP000393.1"	"methionine synthase (B12-dependent)"	"TIGRFAM: methionine synthase~PFAM: dihydropteroate synthase%2C DHPS  homocysteine S-methyltransferase  Methionine synthase%2C B12-binding module%2C cap  Vitamin B12 dependent methionine synthase%2C activation region cobalamin B12-binding~KEGG: syf:Synpcc7942_1372 5-methyltetrahydrofolate--homocysteine methyltransferase"	"InterPro:IPR000489,InterPro:IPR001412,InterPro:IPR003726,InterPro:IPR003759,InterPro:IPR004223,InterPro:IPR006158,InterPro:IPR011822,NCBI_GP:ABG51699.1"
"Tery_2493"	686	1273	1131	569	1246	812	834	"   188.14"	"   195.82"	"   207.24"	"   187.47"	"   226.31"	"   145.46"	"   235.09"	" 7.56"	" 7.62"	" 7.70"	" 7.56"	" 7.83"	" 7.19"	" 7.88"	"Tery_2493"	"gene2515"	"CDS"	3842056	3842433	"-"	"CP000393.1"	"chorismate mutase"	"TIGRFAM: chorismate mutase~PFAM: Chorismate mutase of the AroH class~KEGG: syf:Synpcc7942_1915 chorismate mutase"	"InterPro:IPR008243,NCBI_GP:ABG51700.1"
"Tery_2494"	630	1190	836	539	1017	1024	575	"   172.78"	"   183.06"	"   153.18"	"   177.58"	"   184.72"	"   183.44"	"   162.08"	" 7.44"	" 7.52"	" 7.27"	" 7.48"	" 7.54"	" 7.53"	" 7.35"	"Tery_2494"	"gene2516"	"CDS"	3842471	3843289	"-"	"CP000393.1"	"signal peptide peptidase A. Serine peptidase. MEROPS family S49"	"TIGRFAM: signal peptide peptidase SppA%2C 36K type~PFAM: peptidase S49~KEGG: ava:Ava_1689 peptidase S49%2C SppA"	"InterPro:IPR002142,InterPro:IPR004635,NCBI_GP:ABG51701.1"
"Tery_2495"	122	299	208	160	245	206	184	"    33.46"	"    45.99"	"    38.11"	"    52.71"	"    44.50"	"    36.90"	"    51.87"	" 5.11"	" 5.55"	" 5.29"	" 5.75"	" 5.51"	" 5.24"	" 5.72"	"Tery_2495"	"gene2517"	"CDS"	3843547	3844557	"+"	"CP000393.1"	"protein of unknown function DUF6%2C transmembrane"	"PFAM: protein of unknown function DUF6%2C transmembrane~KEGG: ava:Ava_3529 protein of unknown function DUF6%2C transmembrane"	"InterPro:IPR000620,NCBI_GP:ABG51702.1"
"Tery_2496"	27	50	17	66	55	52	28	"     7.40"	"     7.69"	"     3.11"	"    21.74"	"     9.99"	"     9.32"	"     7.89"	" 3.07"	" 3.12"	" 2.04"	" 4.51"	" 3.46"	" 3.37"	" 3.15"	"Tery_2496"	"gene2518"	"CDS"	3844799	3848818	"+"	"CP000393.1"	"putative signal transduction protein with Nacht domain"	"KEGG: ava:Ava_4476 predicted signal transduction protein containing NACHT domain"	"InterPro:IPR001687,InterPro:IPR007111,NCBI_GP:ABG51703.1"
"Tery_2497"	21	52	24	18	19	44	12	"     5.76"	"     8.00"	"     4.40"	"     5.93"	"     3.45"	"     7.88"	"     3.38"	" 2.76"	" 3.17"	" 2.43"	" 2.79"	" 2.15"	" 3.15"	" 2.13"	"Tery_2497"	"gene2519"	"CDS"	3849056	3849985	"-"	"CP000393.1"	"conserved hypothetical protein"	"TIGRFAM: conserved hypothetical protein~KEGG: wol:WD0627 hypothetical protein"	"InterPro:IPR010106,NCBI_GP:ABG51704.1"
"Tery_2498"	78	92	58	61	75	134	55	"    21.39"	"    14.15"	"    10.63"	"    20.10"	"    13.62"	"    24.00"	"    15.50"	" 4.48"	" 3.92"	" 3.54"	" 4.40"	" 3.87"	" 4.64"	" 4.04"	"Tery_2498"	"gene2520"	"CDS"	3850766	3854815	"+"	"CP000393.1"	"putative signal transduction protein with Nacht domain"	"KEGG: ava:Ava_4476 predicted signal transduction protein containing NACHT domain"	"InterPro:IPR001687,InterPro:IPR007111,NCBI_GP:ABG51705.1"
"Tery_2499"	392	582	480	284	434	477	297	"   107.51"	"    89.53"	"    87.95"	"    93.57"	"    78.83"	"    85.45"	"    83.72"	" 6.76"	" 6.50"	" 6.47"	" 6.56"	" 6.32"	" 6.43"	" 6.40"	"Tery_2499"	"gene2521"	"CDS"	3855819	3857666	"-"	"CP000393.1"	"diguanylate cyclase/phosphodiesterase"	"TIGRFAM: diguanylate cyclase~PFAM: conserved hypothetical protein EAL~KEGG: ana:all4897 hypothetical protein"	"InterPro:IPR000160,InterPro:IPR001633,NCBI_GP:ABG51706.1"
"Tery_2500"	158	164	169	87	101	162	103	"    43.33"	"    25.23"	"    30.97"	"    28.66"	"    18.34"	"    29.02"	"    29.03"	" 5.47"	" 4.71"	" 5.00"	" 4.89"	" 4.27"	" 4.91"	" 4.91"	"Tery_2500"	"gene2522"	"CDS"	3859190	3859936	"-"	"CP000393.1"	"hypothetical protein"	"KEGG: ana:all3983 similar to surface layer protein"	"NCBI_GP:ABG51707.1"
"Tery_2501"	1520	1217	1884	1011	2104	704	1209	"   416.86"	"   187.21"	"   345.21"	"   333.09"	"   382.15"	"   126.12"	"   340.80"	" 8.71"	" 7.56"	" 8.44"	" 8.38"	" 8.58"	" 6.99"	" 8.42"	"Tery_2501"	"gene2523"	"CDS"	3860392	3861360	"-"	"CP000393.1"	"ATPase%2C BadF/BadG/BcrA/BcrD type"	"PFAM: ATPase%2C BadF/BadG/BcrA/BcrD type~KEGG: ana:alr4655 hypothetical protein"	"InterPro:IPR002731,NCBI_GP:ABG51708.1"
"Tery_2502"	1429	2531	1913	860	1681	1595	1273	"   391.90"	"   389.34"	"   350.52"	"   283.34"	"   305.32"	"   285.73"	"   358.84"	" 8.62"	" 8.61"	" 8.46"	" 8.15"	" 8.26"	" 8.16"	" 8.49"	"Tery_2502"	"gene2524"	"CDS"	3861798	3862712	"-"	"CP000393.1"	"SSU ribosomal protein S1P"	"PFAM: RNA binding S1~KEGG: ava:Ava_3732 RNA binding S1"	"InterPro:IPR000110,InterPro:IPR003029,NCBI_GP:ABG51709.1"
"Tery_2503"	734	1598	1242	548	1164	982	735	"   201.30"	"   245.82"	"   227.57"	"   180.55"	"   211.42"	"   175.92"	"   207.19"	" 7.66"	" 7.95"	" 7.84"	" 7.50"	" 7.73"	" 7.47"	" 7.70"	"Tery_2503"	"gene2525"	"CDS"	3863541	3864278	"-"	"CP000393.1"	"Carboxymethylenebutenolidase"	"PFAM: dienelactone hydrolase~KEGG: ava:Ava_4152 dienelactone hydrolase"	"InterPro:IPR002925,NCBI_GP:ABG51710.1"
"Tery_2504"	197	378	287	194	331	285	197	"    54.03"	"    58.15"	"    52.59"	"    63.92"	"    60.12"	"    51.06"	"    55.53"	" 5.78"	" 5.89"	" 5.74"	" 6.02"	" 5.93"	" 5.70"	" 5.82"	"Tery_2504"	"gene2526"	"CDS"	3865117	3866100	"+"	"CP000393.1"	"transcriptional regulator%2C GntR family"	"PFAM: regulatory protein GntR%2C HTH~KEGG: ava:Ava_3734 transcriptional regulator%2C GntR family"	"InterPro:IPR000524,NCBI_GP:ABG51711.1"
"Tery_2505"	601	770	722	397	627	818	390	"   164.82"	"   118.45"	"   132.29"	"   130.80"	"   113.88"	"   146.54"	"   109.94"	" 7.37"	" 6.90"	" 7.06"	" 7.04"	" 6.84"	" 7.20"	" 6.79"	"Tery_2505"	"gene2527"	"CDS"	3866500	3868455	"+"	"CP000393.1"	"hypothetical protein"	"KEGG: ava:Ava_1782 hypothetical protein"	"NCBI_GP:ABG51712.1"
"Tery_2507"	46	65	37	29	52	38	20	"    12.62"	"    10.00"	"     6.78"	"     9.55"	"     9.44"	"     6.81"	"     5.64"	" 3.77"	" 3.46"	" 2.96"	" 3.40"	" 3.38"	" 2.96"	" 2.73"	"Tery_2507"	"gene2529"	"CDS"	3870472	3871158	"+"	"CP000393.1"	"hypothetical protein"	"KEGG: mba:Mbar_A2511 transposase"	"NCBI_GP:ABG51713.1"
"Tery_2508"	461	779	908	355	744	541	458	"   126.43"	"   119.83"	"   166.37"	"   116.96"	"   135.13"	"    96.92"	"   129.10"	" 6.99"	" 6.92"	" 7.39"	" 6.88"	" 7.09"	" 6.61"	" 7.02"	"Tery_2508"	"gene2530"	"CDS"	3872668	3873606	"-"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG51714.1"
"Tery_2509"	100	191	184	91	200	108	102	"    27.43"	"    29.38"	"    33.71"	"    29.98"	"    36.33"	"    19.35"	"    28.75"	" 4.83"	" 4.93"	" 5.12"	" 4.95"	" 5.22"	" 4.35"	" 4.89"	"Tery_2509"	"gene2531"	"CDS"	3873909	3874835	"+"	"CP000393.1"	"TPR repeat"	"PFAM: TPR repeat Tetratricopeptide TPR_2~SMART: Tetratricopeptide region~KEGG: ava:Ava_4803 tetratricopeptide TPR_3"	"InterPro:IPR001440,InterPro:IPR013026,InterPro:IPR013105,NCBI_GP:ABG51715.1"
"Tery_2510"	155	338	223	122	291	173	144	"    42.51"	"    51.99"	"    40.86"	"    40.20"	"    52.85"	"    30.99"	"    40.59"	" 5.44"	" 5.73"	" 5.39"	" 5.36"	" 5.75"	" 5.00"	" 5.38"	"Tery_2510"	"gene2532"	"CDS"	3875500	3876276	"-"	"CP000393.1"	"conserved hypothetical protein 245"	"PFAM: conserved hypothetical protein 245~KEGG: ana:all3011 putative ABC-transport system permease protein"	"InterPro:IPR005226,NCBI_GP:ABG51716.1"
"Tery_2511"	464	724	613	428	756	486	324	"   127.25"	"   111.37"	"   112.32"	"   141.01"	"   137.31"	"    87.06"	"    91.33"	" 7.00"	" 6.81"	" 6.82"	" 7.15"	" 7.11"	" 6.46"	" 6.53"	"Tery_2511"	"gene2533"	"CDS"	3876821	3878002	"+"	"CP000393.1"	"DegT/DnrJ/EryC1/StrS aminotransferase"	"PFAM: DegT/DnrJ/EryC1/StrS aminotransferase~KEGG: ana:alr3012 pleiotropic regulatory protein"	"InterPro:IPR000653,NCBI_GP:ABG51717.1"
"Tery_2512"	936	2008	1625	794	1669	1498	1035	"   256.70"	"   308.89"	"   297.75"	"   261.60"	"   303.14"	"   268.35"	"   291.75"	" 8.01"	" 8.28"	" 8.22"	" 8.04"	" 8.25"	" 8.07"	" 8.19"	"Tery_2512"	"gene2534"	"CDS"	3878566	3880275	"+"	"CP000393.1"	"ABC-1"	"PFAM: ABC-1~KEGG: ava:Ava_0318 ABC-1"	"InterPro:IPR000719,InterPro:IPR004147,NCBI_GP:ABG51718.1"
"Tery_2513"	316	680	538	281	573	329	273	"    86.66"	"   104.60"	"    98.58"	"    92.58"	"   104.07"	"    58.94"	"    76.95"	" 6.45"	" 6.72"	" 6.64"	" 6.55"	" 6.72"	" 5.91"	" 6.28"	"Tery_2513"	"gene2535"	"CDS"	3880533	3880886	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: syf:Synpcc7942_0114 hypothetical protein"	"NCBI_GP:ABG51719.1"
"Tery_2514"	633	1019	956	525	1011	837	661	"   173.60"	"   156.75"	"   175.17"	"   172.97"	"   183.63"	"   149.94"	"   186.33"	" 7.45"	" 7.30"	" 7.46"	" 7.44"	" 7.53"	" 7.24"	" 7.55"	"Tery_2514"	"gene2536"	"CDS"	3881068	3882018	"+"	"CP000393.1"	"NAD-dependent epimerase/dehydratase"	"PFAM: NAD-dependent epimerase/dehydratase 3-beta hydroxysteroid dehydrogenase/isomerase  Male sterility-like~KEGG: ava:Ava_3228 3-beta hydroxysteroid dehydrogenase/isomerase"	"InterPro:IPR001509,InterPro:IPR002198,InterPro:IPR002225,InterPro:IPR008089,InterPro:IPR013120,NCBI_GP:ABG51720.1"
"Tery_2515"	375	482	543	388	672	386	341	"   102.84"	"    74.15"	"    99.50"	"   127.83"	"   122.05"	"    69.15"	"    96.12"	" 6.70"	" 6.23"	" 6.65"	" 7.01"	" 6.94"	" 6.13"	" 6.60"	"Tery_2515"	"gene2537"	"CDS"	3882122	3883555	"-"	"CP000393.1"	"asparagine synthase"	"PFAM: asparagine synthase~KEGG: rba:RB4577 asparagine synthetase [glutamine-hydrolyzing] 1"	"InterPro:IPR001962,NCBI_GP:ABG51721.1"
"Tery_2516"	74	150	94	94	152	117	83	"    20.29"	"    23.07"	"    17.22"	"    30.97"	"    27.61"	"    20.96"	"    23.40"	" 4.41"	" 4.59"	" 4.19"	" 5.00"	" 4.84"	" 4.46"	" 4.61"	"Tery_2516"	"gene2538"	"CDS"	3883631	3883963	"-"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG51722.1"
"Tery_2517"	5	10	10	9	15	9	3	"     1.37"	"     1.54"	"     1.83"	"     2.97"	"     2.72"	"     1.61"	"     0.85"	" 1.25"	" 1.34"	" 1.50"	" 1.99"	" 1.90"	" 1.39"	" 0.88"	"Tery_2517"	"gene2539"	"CDS"	3884865	3885038	"+"	"CP000393.1"	"3-beta hydroxysteroid dehydrogenase/isomerase"	"KEGG: ava:Ava_3228 3-beta hydroxysteroid dehydrogenase/isomerase"	"NCBI_GP:ABG51723.1"
"Tery_2518"	88	218	163	104	176	118	96	"    24.13"	"    33.53"	"    29.87"	"    34.26"	"    31.97"	"    21.14"	"    27.06"	" 4.65"	" 5.11"	" 4.95"	" 5.14"	" 5.04"	" 4.47"	" 4.81"	"Tery_2518"	"gene2540"	"CDS"	3885105	3885875	"+"	"CP000393.1"	"O-methyltransferase-like"	"KEGG: wsu:WS2183 hypothetical protein"	"NCBI_GP:ABG51724.1"
"Tery_2519"	135	293	253	127	245	222	147	"    37.02"	"    45.07"	"    46.36"	"    41.84"	"    44.50"	"    39.77"	"    41.44"	" 5.25"	" 5.53"	" 5.57"	" 5.42"	" 5.51"	" 5.35"	" 5.41"	"Tery_2519"	"gene2541"	"CDS"	3886603	3887382	"-"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG51725.1"
"Tery_2520"	241	374	306	181	311	306	180	"    66.09"	"    57.53"	"    56.07"	"    59.63"	"    56.49"	"    54.82"	"    50.74"	" 6.07"	" 5.87"	" 5.83"	" 5.92"	" 5.85"	" 5.80"	" 5.69"	"Tery_2520"	"gene2542"	"CDS"	3887494	3888420	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_0321 hypothetical protein"	"NCBI_GP:ABG51726.1"
"Tery_2521"	525	842	789	367	862	635	411	"   143.98"	"   129.52"	"   144.57"	"   120.91"	"   156.56"	"   113.75"	"   115.85"	" 7.18"	" 7.03"	" 7.19"	" 6.93"	" 7.30"	" 6.84"	" 6.87"	"Tery_2521"	"gene2543"	"CDS"	3888432	3889430	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_0322 hypothetical protein"	"NCBI_GP:ABG51727.1"
"Tery_2522"	198	282	247	151	306	181	162	"    54.30"	"    43.38"	"    45.26"	"    49.75"	"    55.58"	"    32.42"	"    45.67"	" 5.79"	" 5.47"	" 5.53"	" 5.67"	" 5.82"	" 5.06"	" 5.54"	"Tery_2522"	"gene2544"	"CDS"	3889733	3890632	"-"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG51728.1"
"Tery_2524"	598	912	708	613	863	1057	473	"   164.00"	"   140.29"	"   129.73"	"   201.96"	"   156.74"	"   189.35"	"   133.33"	" 7.37"	" 7.14"	" 7.03"	" 7.67"	" 7.30"	" 7.57"	" 7.07"	"Tery_2524"	"gene2546"	"CDS"	3891979	3893157	"+"	"CP000393.1"	"glycosyl transferase%2C group 1"	"PFAM: glycosyl transferase%2C group 1~KEGG: hal:VNG1017H hypothetical protein"	"InterPro:IPR001296,NCBI_GP:ABG51729.1"
"Tery_2525"	336	675	602	391	746	508	336	"    92.15"	"   103.83"	"   110.31"	"   128.82"	"   135.49"	"    91.00"	"    94.71"	" 6.54"	" 6.71"	" 6.80"	" 7.02"	" 7.09"	" 6.52"	" 6.58"	"Tery_2525"	"gene2547"	"CDS"	3893600	3894544	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ana:alr1045 unknown protein"	"NCBI_GP:ABG51730.1"
"Tery_2526"	370	591	429	372	653	532	322	"   101.47"	"    90.91"	"    78.61"	"   122.56"	"   118.60"	"    95.30"	"    90.77"	" 6.68"	" 6.52"	" 6.31"	" 6.95"	" 6.90"	" 6.59"	" 6.52"	"Tery_2526"	"gene2548"	"CDS"	3895366	3898830	"-"	"CP000393.1"	"Tetratricopeptide TPR_2"	"PFAM: TPR repeat Tetratricopeptide TPR_3 Tetratricopeptide TPR_2~SMART: Tetratricopeptide region~KEGG: pmn:PMN2A_1233 TPR repeat"	"InterPro:IPR001440,InterPro:IPR011716,InterPro:IPR013026,InterPro:IPR013105,NCBI_GP:ABG51731.1"
"Tery_2528"	366	848	645	343	569	1021	450	"   100.38"	"   130.45"	"   118.18"	"   113.01"	"   103.35"	"   182.90"	"   126.85"	" 6.66"	" 7.04"	" 6.90"	" 6.83"	" 6.71"	" 7.52"	" 7.00"	"Tery_2528"	"gene2550"	"CDS"	3899425	3900138	"+"	"CP000393.1"	"ribose-5-phosphate isomerase"	"KEGG: syn:slr0194 ribose 5-phosphate isomerase A~TIGRFAM: ribose 5-phosphate isomerase~PFAM: Ribose 5-phosphate isomerase"	"InterPro:IPR004788,NCBI_GP:ABG51732.1"
"Tery_2529"	1908	3753	3645	1354	2771	3254	2052	"   523.27"	"   577.32"	"   667.88"	"   446.10"	"   503.29"	"   582.92"	"   578.43"	" 9.03"	" 9.18"	" 9.39"	" 8.80"	" 8.98"	" 9.19"	" 9.18"	"Tery_2529"	"gene2551"	"CDS"	3901498	3903078	"+"	"CP000393.1"	"proton-translocating NADH-quinone oxidoreductase%2C chain N"	"KEGG: ana:all4883 NADH dehydrogenase subunit 2~TIGRFAM: proton-translocating NADH-quinone oxidoreductase%2C chain N~PFAM: NADH/Ubiquinone/plastoquinone (complex I)"	"InterPro:IPR001750,InterPro:IPR003916,InterPro:IPR010096,NCBI_GP:ABG51733.1"
"Tery_2530"	4151	7575	6270	3208	6740	5402	3592	"  1138.41"	"  1165.25"	"  1148.86"	"  1056.93"	"  1224.17"	"   967.72"	"  1012.53"	"10.15"	"10.19"	"10.17"	"10.05"	"10.26"	" 9.92"	" 9.99"	"Tery_2530"	"gene2552"	"CDS"	3903538	3903972	"-"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG51734.1"
"Tery_2533"	631	1247	1264	381	847	800	714	"   173.05"	"   191.82"	"   231.61"	"   125.53"	"   153.84"	"   143.31"	"   201.27"	" 7.44"	" 7.59"	" 7.86"	" 6.98"	" 7.27"	" 7.17"	" 7.66"	"Tery_2533"	"gene2554"	"CDS"	3907419	3909845	"-"	"CP000393.1"	"UvrD/REP helicase"	"PFAM: UvrD/REP helicase~KEGG: ava:Ava_1425 UvrD/REP helicase"	"InterPro:IPR000212,NCBI_GP:ABG51735.1"
"Tery_2534"	65	129	108	86	111	99	64	"    17.83"	"    19.84"	"    19.79"	"    28.33"	"    20.16"	"    17.73"	"    18.04"	" 4.23"	" 4.38"	" 4.38"	" 4.87"	" 4.40"	" 4.23"	" 4.25"	"Tery_2534"	"gene2555"	"CDS"	3909899	3911002	"-"	"CP000393.1"	"cyclic nucleotide-binding protein"	"PFAM: cyclic nucleotide-binding  ATP-binding region%2C ATPase-like histidine kinase A-like~KEGG: mac:MA2555 sensory transduction histidine kinase"	"InterPro:IPR000595,InterPro:IPR002373,InterPro:IPR003594,InterPro:IPR003661,InterPro:IPR004358,InterPro:IPR005467,NCBI_GP:ABG51736.1"
"Tery_2535"	3445	5284	4267	2888	4610	4336	2933	"   944.79"	"   812.83"	"   781.85"	"   951.50"	"   837.31"	"   776.76"	"   826.77"	" 9.89"	" 9.67"	" 9.61"	" 9.90"	" 9.71"	" 9.60"	" 9.69"	"Tery_2535"	"gene2556"	"CDS"	3912586	3914037	"+"	"CP000393.1"	"signal recognition particle subunit FFH/SRP54 (srp54)"	"KEGG: ana:alr1952 signal recognition particle protein~TIGRFAM: signal recognition particle protein~PFAM: GTP-binding signal recognition particle SRP54%2C G-domain  Signal peptide binding (SRP54) M-domain~SMART: ATPase"	"InterPro:IPR000897,InterPro:IPR003593,InterPro:IPR004125,InterPro:IPR004780,NCBI_GP:ABG51737.1"
"Tery_2536"	1073	2154	2390	658	1129	2334	1396	"   294.27"	"   331.35"	"   437.92"	"   216.79"	"   205.06"	"   418.11"	"   393.51"	" 8.21"	" 8.38"	" 8.78"	" 7.77"	" 7.69"	" 8.71"	" 8.62"	"Tery_2536"	"gene2557"	"CDS"	3914490	3914915	"+"	"CP000393.1"	"SSU ribosomal protein S16P"	"PFAM: ribosomal protein S16~KEGG: ava:Ava_4357 30S ribosomal protein S16"	"InterPro:IPR000307,NCBI_GP:ABG51738.1"
