""	"baseMean"	"baseMean_LFe"	"baseMean_HFe"	"baseMean_MFe"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"HFe_d5_rep1_RAW"	"HFe_d5_rep2_RAW"	"HFe_d5_rep3_RAW"	"LFe_d5_rep1_RAW"	"LFe_d5_rep2_RAW"	"LFe_d5_rep3_RAW"	"LFe_d7_rep1_RAW"	"LFe_d7_rep2_RAW"	"LFe_d7_rep3_RAW"	"MFe_d5_rep1_RAW"	"MFe_d5_rep2_RAW"	"MFe_d5_rep3_RAW"	"HFe_d5_rep1_CPM"	"HFe_d5_rep2_CPM"	"HFe_d5_rep3_CPM"	"LFe_d5_rep1_CPM"	"LFe_d5_rep2_CPM"	"LFe_d5_rep3_CPM"	"LFe_d7_rep1_CPM"	"LFe_d7_rep2_CPM"	"LFe_d7_rep3_CPM"	"MFe_d5_rep1_CPM"	"MFe_d5_rep2_CPM"	"MFe_d5_rep3_CPM"	"HFe_d5_rep1_logCPM"	"HFe_d5_rep2_logCPM"	"HFe_d5_rep3_logCPM"	"LFe_d5_rep1_logCPM"	"LFe_d5_rep2_logCPM"	"LFe_d5_rep3_logCPM"	"LFe_d7_rep1_logCPM"	"LFe_d7_rep2_logCPM"	"LFe_d7_rep3_logCPM"	"MFe_d5_rep1_logCPM"	"MFe_d5_rep2_logCPM"	"MFe_d5_rep3_logCPM"	"locus_tag"	"geneID"	"feature"	"start"	"end"	"strand"	"seqname"	"product"	"note"	"dbxref"
"Tery_0603"	19.702647334891	21.5219446218925	16.2185881441115	19.5481119516673	-0.49204189736178	0.369482680988595	-1.3317049016892	0.182957177919931	0.421973266086066	22	17	7	17	28	25	24	33	9	24	22	13	"     6.10"	"     2.66"	"     1.30"	"     5.70"	"     4.78"	"     4.61"	"     4.57"	"     4.75"	"     2.35"	"     4.37"	"     4.05"	"     3.71"	" 2.83"	" 1.87"	" 1.20"	" 2.74"	" 2.53"	" 2.49"	" 2.48"	" 2.52"	" 1.74"	" 2.42"	" 2.34"	" 2.24"	"Tery_0603"	"gene608"	"CDS"	975384	975956	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_2755 hypothetical protein"	"NCBI_GP:ABG50047.1"
"Tery_1685"	920.355852549426	954.95805640876	867.680073534654	903.827223845529	-0.136617498224058	0.102621542596733	-1.33127503998763	0.183098527966667	0.421973266086066	640	1230	903	609	1155	1051	1132	1276	739	1128	1029	582	"   177.33"	"   192.46"	"   167.80"	"   204.06"	"   196.99"	"   193.73"	"   215.61"	"   183.50"	"   193.01"	"   205.36"	"   189.23"	"   166.07"	" 7.48"	" 7.60"	" 7.40"	" 7.68"	" 7.63"	" 7.61"	" 7.76"	" 7.53"	" 7.60"	" 7.69"	" 7.57"	" 7.38"	"Tery_1685"	"gene1695"	"CDS"	2566422	2567252	"+"	"CP000393.1"	"lipase%2C class 3"	"PFAM: lipase%2C class 3~KEGG: ppr:PBPRA1385 hypothetical protein"	"InterPro:IPR002921,InterPro:IPR008262,NCBI_GP:ABG50956.1"
"Tery_3164"	1539.42243057858	1502.73974876094	1699.55850635647	1452.65171843596	0.178896520417519	0.134291612917872	1.33214961478589	0.182811029469221	0.421973266086066	1122	2639	1771	865	1783	1885	1657	1896	1293	1792	1427	1093	"   310.88"	"   412.93"	"   329.11"	"   289.83"	"   304.09"	"   347.45"	"   315.60"	"   272.66"	"   337.71"	"   326.25"	"   262.41"	"   311.89"	" 8.28"	" 8.69"	" 8.37"	" 8.18"	" 8.25"	" 8.44"	" 8.31"	" 8.10"	" 8.40"	" 8.35"	" 8.04"	" 8.29"	"Tery_3164"	"gene3191"	"CDS"	4831666	4832373	"+"	"CP000393.1"	"two component transcriptional regulator%2C winged helix family"	"PFAM: response regulator receiveR transcriptional regulatory protein-like~KEGG: ana:all4750 two-component response regulator"	"InterPro:IPR001789,InterPro:IPR001867,NCBI_GP:ABG52292.1"
"Tery_3210"	365.821505365628	390.858470105197	306.250559939423	375.318521312693	-0.350733801643737	0.263500050181818	-1.33105781726313	0.183169987393081	0.421973266086066	201	353	424	174	354	444	485	484	472	443	276	354	"    55.69"	"    55.24"	"    78.79"	"    58.30"	"    60.38"	"    81.84"	"    92.38"	"    69.60"	"   123.28"	"    80.65"	"    50.75"	"   101.01"	" 5.83"	" 5.81"	" 6.32"	" 5.89"	" 5.94"	" 6.37"	" 6.54"	" 6.14"	" 6.96"	" 6.35"	" 5.69"	" 6.67"	"Tery_3210"	"gene3238"	"CDS"	4907277	4908824	"-"	"CP000393.1"	"histidine kinase"	"PFAM: ATP-binding region%2C ATPase-like histidine kinase A-like~KEGG: ana:all3587 two-component sensor histidine kinase"	"InterPro:IPR003594,InterPro:IPR003661,InterPro:IPR004358,InterPro:IPR005467,NCBI_GP:ABG52329.1"
"Tery_4725"	22.4437219417797	20.2419627983061	26.3738954533472	22.9170667171593	0.404102541475841	0.303472489604114	1.33159530210795	0.18299320951537	0.421973266086066	13	41	34	10	35	17	15	32	20	26	22	19	"     3.60"	"     6.42"	"     6.32"	"     3.35"	"     5.97"	"     3.13"	"     2.86"	"     4.60"	"     5.22"	"     4.73"	"     4.05"	"     5.42"	" 2.20"	" 2.89"	" 2.87"	" 2.12"	" 2.80"	" 2.05"	" 1.95"	" 2.49"	" 2.64"	" 2.52"	" 2.34"	" 2.68"	"Tery_4725"	"gene4769"	"CDS"	7251442	7251807	"-"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG53686.1"
"Tery_2683"	227.193130429432	257.534158018902	207.244384881063	186.459820798861	-0.313496756498854	0.235785589148172	-1.32958404129545	0.183655359050493	0.42284910846677	174	243	227	146	206	288	347	290	288	250	156	145	"    48.21"	"    38.02"	"    42.18"	"    48.92"	"    35.13"	"    53.09"	"    66.09"	"    41.70"	"    75.22"	"    45.51"	"    28.69"	"    41.38"	" 5.62"	" 5.29"	" 5.43"	" 5.64"	" 5.18"	" 5.76"	" 6.07"	" 5.42"	" 6.25"	" 5.54"	" 4.89"	" 5.41"	"Tery_2683"	"gene2704"	"CDS"	4151936	4152757	"+"	"CP000393.1"	"type 4 prepilin peptidase 1. Aspartic peptidase. MEROPS family A24A"	"PFAM: peptidase A24A%2C prepilin type IV peptidase A24A-like~KEGG: ana:alr1315 leader peptidase (prepilin peptidase) / N-methyltransferase"	"InterPro:IPR000045,InterPro:IPR010627,NCBI_GP:ABG51872.1"
"Tery_1504"	494.793523878356	452.392344809645	532.400212957082	541.98919293705	0.235813316001651	0.177521647174669	1.3283637221416	0.184057978012422	0.423291230898132	357	743	617	317	652	499	442	703	258	576	751	327	"    98.92"	"   116.26"	"   114.66"	"   106.22"	"   111.20"	"    91.98"	"    84.19"	"   101.10"	"    67.38"	"   104.87"	"   138.10"	"    93.31"	" 6.64"	" 6.87"	" 6.85"	" 6.74"	" 6.81"	" 6.54"	" 6.41"	" 6.67"	" 6.10"	" 6.73"	" 7.12"	" 6.56"	"Tery_1504"	"gene1512"	"CDS"	2287727	2288308	"-"	"CP000393.1"	"Thioredoxin domain"	"PFAM: Thioredoxin domain~KEGG: ava:Ava_0338 thioredoxin-related"	"InterPro:IPR006662,InterPro:IPR006663,InterPro:IPR013766,NCBI_GP:ABG50790.1"
"Tery_2110"	285.698231732021	251.616581347821	319.726234889041	319.833529343398	0.342387106369635	0.257739956004264	1.32842075275271	0.184039147400491	0.423291230898132	224	456	348	148	425	235	273	461	111	267	487	211	"    62.07"	"    71.35"	"    64.67"	"    49.59"	"    72.48"	"    43.32"	"    52.00"	"    66.30"	"    28.99"	"    48.61"	"    89.56"	"    60.21"	" 5.98"	" 6.18"	" 6.04"	" 5.66"	" 6.20"	" 5.47"	" 5.73"	" 6.07"	" 4.91"	" 5.63"	" 6.50"	" 5.94"	"Tery_2110"	"gene2128"	"CDS"	3295678	3296571	"-"	"CP000393.1"	"sulfotransferase"	"PFAM: sulfotransferase~KEGG: noc:Noc_0082 sulfotransferase"	"InterPro:IPR000863,NCBI_GP:ABG51346.1"
"Tery_0907"	207.003761156252	167.973037217708	208.026238620247	284.042731569346	0.311847249153467	0.234898975203627	1.32758028800737	0.184316800082097	0.423415832302867	139	239	285	123	255	167	165	219	116	196	345	269	"    38.51"	"    37.40"	"    52.96"	"    41.21"	"    43.49"	"    30.78"	"    31.43"	"    31.49"	"    30.30"	"    35.68"	"    63.44"	"    76.76"	" 5.30"	" 5.26"	" 5.75"	" 5.40"	" 5.48"	" 4.99"	" 5.02"	" 5.02"	" 4.97"	" 5.20"	" 6.01"	" 6.28"	"Tery_0907"	"gene913"	"CDS"	1432961	1434688	"+"	"CP000393.1"	"GMP synthase (glutamine-hydrolyzing)"	"TIGRFAM: GMP synthase%2C large subunit  GMP synthase%2C small subunit~PFAM: glutamine amidotransferase class-I  GMP synthase-like~KEGG: ana:all2846 GMP synthase (glutamine-hydrolyzing)"	"InterPro:IPR000991,InterPro:IPR001317,InterPro:IPR001674,InterPro:IPR004739,InterPro:IPR006220,InterPro:IPR011702,InterPro:IPR012998,NCBI_GP:ABG50306.1"
"Tery_1819"	81.5415500203161	68.8723204965849	84.1136810395466	104.307878048548	0.284791746191183	0.214522353826462	1.32756209836093	0.184322812569656	0.423415832302867	54	102	114	34	113	81	68	88	55	97	144	72	"    14.96"	"    15.96"	"    21.18"	"    11.39"	"    19.27"	"    14.93"	"    12.95"	"    12.66"	"    14.36"	"    17.66"	"    26.48"	"    20.55"	" 4.00"	" 4.08"	" 4.47"	" 3.63"	" 4.34"	" 3.99"	" 3.80"	" 3.77"	" 3.94"	" 4.22"	" 4.78"	" 4.43"	"Tery_1819"	"gene1830"	"CDS"	2775870	2776505	"+"	"CP000393.1"	"1-acyl-sn-glycerol-3-phosphate acyltransferases"	"TIGRFAM: 1-acyl-sn-glycerol-3-phosphate acyltransferases~PFAM: phospholipid/glycerol acyltransferase~KEGG: ava:Ava_2731 1-acyl-sn-glycerol-3-phosphate acyltransferase"	"InterPro:IPR002123,InterPro:IPR004552,NCBI_GP:ABG51076.1"
"Tery_2313"	403.561044487431	398.252093008526	448.550714250547	369.189277682125	0.167577860913749	0.126406434303745	1.32570673191423	0.184936856713801	0.424564387456688	388	543	460	256	414	457	440	595	325	466	399	248	"   107.51"	"    84.97"	"    85.48"	"    85.78"	"    70.61"	"    84.24"	"    83.80"	"    85.57"	"    84.88"	"    84.84"	"    73.37"	"    70.77"	" 6.76"	" 6.43"	" 6.43"	" 6.44"	" 6.16"	" 6.41"	" 6.41"	" 6.44"	" 6.42"	" 6.42"	" 6.22"	" 6.17"	"Tery_2313"	"gene2333"	"CDS"	3584216	3585082	"+"	"CP000393.1"	"RNA methyltransferase%2C TrmH family%2C group 3"	"TIGRFAM: RNA methyltransferase%2C TrmH family%2C group 3~PFAM: tRNA/rRNA methyltransferase (SpoU)  RNA 2-O ribose methyltransferase%2C substrate binding~KEGG: ava:Ava_4413 RNA methyltransferase TrmH%2C group 3"	"InterPro:IPR001537,InterPro:IPR004441,InterPro:IPR013123,NCBI_GP:ABG51537.1"
"Tery_3647"	2043.26583820705	1722.49328447752	2244.73706229106	2483.33972158209	0.38221095888066	0.288371100739398	1.32541353103918	0.185034031548288	0.424564387456688	1486	3400	2405	1347	3140	1655	1223	2764	830	1930	3914	1644	"   411.74"	"   532.01"	"   446.92"	"   451.34"	"   535.53"	"   305.06"	"   232.94"	"   397.48"	"   216.78"	"   351.37"	"   719.75"	"   469.12"	" 8.69"	" 9.06"	" 8.81"	" 8.82"	" 9.07"	" 8.26"	" 7.87"	" 8.64"	" 7.77"	" 8.46"	" 9.49"	" 8.88"	"Tery_3647"	"gene3679"	"CDS"	5606666	5606869	"-"	"CP000393.1"	"CpcD phycobilisome linker-like"	"PFAM: CpcD phycobilisome linker-like~KEGG: syn:ssr3383 phycobilisome small core linker polypeptide"	"InterPro:IPR008213,NCBI_GP:ABG52712.1"
"Tery_2845"	70.4151152121497	61.7154312515125	78.4286900321113	79.8009083134622	0.32769021465613	0.247370921638165	1.32469173210039	0.185273416527465	0.424871154843359	67	91	85	34	108	59	51	99	46	81	124	42	"    18.56"	"    14.24"	"    15.80"	"    11.39"	"    18.42"	"    10.88"	"     9.71"	"    14.24"	"    12.01"	"    14.75"	"    22.80"	"    11.98"	" 4.29"	" 3.93"	" 4.07"	" 3.63"	" 4.28"	" 3.57"	" 3.42"	" 3.93"	" 3.70"	" 3.98"	" 4.57"	" 3.70"	"Tery_2845"	"gene2867"	"CDS"	4425850	4427274	"-"	"CP000393.1"	"Na+/solute symporter"	"PFAM: Na+/solute symporter~KEGG: cya:CYA_2510 transporter%2C solute:sodium symporter (SSS) family"	"InterPro:IPR001734,NCBI_GP:ABG52019.1"
"Tery_0457"	420.312796438373	393.597275735099	436.500858331124	457.555775952171	0.148699787187528	0.112366780145547	1.32334295772219	0.185721352064128	0.425230648927125	316	632	452	225	510	403	417	618	322	532	526	316	"    87.56"	"    98.89"	"    84.00"	"    75.39"	"    86.98"	"    74.28"	"    79.42"	"    88.87"	"    84.10"	"    96.86"	"    96.73"	"    90.17"	" 6.47"	" 6.64"	" 6.41"	" 6.26"	" 6.46"	" 6.23"	" 6.33"	" 6.49"	" 6.41"	" 6.61"	" 6.61"	" 6.51"	"Tery_0457"	"gene461"	"CDS"	724335	725195	"+"	"CP000393.1"	"zinc finger%2C SWIM-type"	"PFAM: zinc finger%2C SWIM-type~KEGG: ana:all4155 hypothetical protein"	"InterPro:IPR007527,NCBI_GP:ABG49915.1"
"Tery_1364"	370.420044495952	360.206454725502	412.367640749822	348.899627782983	0.198308609706806	0.149899233644535	1.32294612110605	0.185853296060935	0.425230648927125	316	527	460	218	392	409	410	417	361	395	443	221	"    87.56"	"    82.46"	"    85.48"	"    73.04"	"    66.86"	"    75.39"	"    78.09"	"    59.97"	"    94.29"	"    71.91"	"    81.46"	"    63.06"	" 6.47"	" 6.38"	" 6.43"	" 6.21"	" 6.08"	" 6.26"	" 6.31"	" 5.93"	" 6.57"	" 6.19"	" 6.37"	" 6.00"	"Tery_1364"	"gene1371"	"CDS"	2092708	2093247	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: syn:sll1618 hypothetical protein"	"NCBI_GP:ABG50676.1"
"Tery_4384"	589.677218745426	542.982733296527	621.488049708991	651.255358679658	0.195832954137384	0.148026129693651	1.32296206448599	0.185847993719125	0.425230648927125	454	822	703	328	735	656	525	676	464	577	845	502	"   125.79"	"   128.62"	"   130.64"	"   109.90"	"   125.36"	"   120.92"	"    99.99"	"    97.21"	"   121.19"	"   105.05"	"   155.39"	"   143.25"	" 6.99"	" 7.02"	" 7.04"	" 6.79"	" 6.98"	" 6.93"	" 6.66"	" 6.62"	" 6.93"	" 6.73"	" 7.29"	" 7.17"	"Tery_4384"	"gene4427"	"CDS"	6752481	6753428	"+"	"CP000393.1"	"protein of unknown function DUF362"	"PFAM: protein of unknown function DUF362~KEGG: ana:alr3725 hypothetical protein"	"InterPro:IPR007160,NCBI_GP:ABG53373.1"
"Tery_4640"	514.162045171748	530.713663725134	464.1891903788	531.031662857926	-0.193928803708019	0.146577527121058	-1.32304595061051	0.185820097279622	0.425230648927125	309	666	526	260	684	634	627	789	406	528	719	354	"    85.62"	"   104.21"	"    97.75"	"    87.12"	"   116.66"	"   116.86"	"   119.42"	"   113.46"	"   106.04"	"    96.13"	"   132.22"	"   101.01"	" 6.44"	" 6.72"	" 6.63"	" 6.46"	" 6.88"	" 6.88"	" 6.91"	" 6.84"	" 6.74"	" 6.60"	" 7.06"	" 6.67"	"Tery_4640"	"gene4684"	"CDS"	7132648	7133148	"+"	"CP000393.1"	"protein of unknown function DUF1230"	"PFAM: protein of unknown function DUF1230~KEGG: ava:Ava_0734 protein of unknown function DUF1230"	"InterPro:IPR009631,NCBI_GP:ABG53611.1"
"Tery_3221"	11.991266682039	14.335137698284	9.69816127411927	9.59663005746891	-0.60287379444037	0.455939482911631	-1.32226713639805	0.186079212031953	0.425505365397299	7	7	16	5	20	17	21	19	11	22	6	3	"     1.94"	"     1.10"	"     2.97"	"     1.68"	"     3.41"	"     3.13"	"     4.00"	"     2.73"	"     2.87"	"     4.01"	"     1.10"	"     0.86"	" 1.56"	" 1.07"	" 1.99"	" 1.42"	" 2.14"	" 2.05"	" 2.32"	" 1.90"	" 1.95"	" 2.32"	" 1.07"	" 0.89"	"Tery_3221"	"gene3249"	"CDS"	4927313	4927558	"-"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG52339.1"
"Tery_0528"	14.1620232890178	16.6907277558098	11.4821110067656	11.7845266376861	-0.528938980225938	0.40063338600275	-1.3202568700111	0.186749270286347	0.426794807590173	7	20	11	11	27	28	14	23	5	10	19	7	"     1.94"	"     3.13"	"     2.04"	"     3.69"	"     4.60"	"     5.16"	"     2.67"	"     3.31"	"     1.31"	"     1.82"	"     3.49"	"     2.00"	" 1.56"	" 2.05"	" 1.61"	" 2.23"	" 2.49"	" 2.62"	" 1.87"	" 2.11"	" 1.21"	" 1.50"	" 2.17"	" 1.58"	"Tery_0528"	"gene532"	"CDS"	833050	833985	"+"	"CP000393.1"	"conserved hypothetical protein"	"TIGRFAM: conserved hypothetical protein~KEGG: wol:WD0627 hypothetical protein"	"InterPro:IPR010106,NCBI_GP:ABG49980.1"
"Tery_2928"	411.713794955419	389.304187713606	440.647489918253	427.599314476211	0.178727637757219	0.135431467210071	1.31969062610827	0.186938331003568	0.426984142405876	351	545	487	238	426	414	459	525	353	405	555	313	"    97.25"	"    85.28"	"    90.50"	"    79.75"	"    72.66"	"    76.31"	"    87.42"	"    75.50"	"    92.20"	"    73.73"	"   102.06"	"    89.32"	" 6.62"	" 6.43"	" 6.52"	" 6.34"	" 6.20"	" 6.27"	" 6.47"	" 6.26"	" 6.54"	" 6.22"	" 6.69"	" 6.50"	"Tery_2928"	"gene2950"	"CDS"	4548636	4549673	"+"	"CP000393.1"	"radical SAM enzyme%2C Cfr family"	"TIGRFAM: radical SAM enzyme%2C Cfr family~PFAM: Radical SAM~KEGG: ava:Ava_2804 hypothetical protein"	"InterPro:IPR004383,InterPro:IPR007197,NCBI_GP:ABG52093.1"
"Tery_0538"	260.733953643086	280.723181306636	245.538116061685	235.951335897386	-0.196043440651353	0.148734890493093	-1.31807298207852	0.187479217897499	0.427976408829043	202	332	238	169	285	317	310	432	245	322	235	156	"    55.97"	"    51.95"	"    44.23"	"    56.63"	"    48.61"	"    58.43"	"    59.04"	"    62.12"	"    63.99"	"    58.62"	"    43.21"	"    44.51"	" 5.83"	" 5.73"	" 5.50"	" 5.85"	" 5.63"	" 5.89"	" 5.91"	" 5.98"	" 6.02"	" 5.90"	" 5.47"	" 5.51"	"Tery_0538"	"gene542"	"CDS"	852585	853763	"-"	"CP000393.1"	"permease YjgP/YjgQ"	"PFAM: permease YjgP/YjgQ~KEGG: ana:alr4069 hypothetical protein"	"InterPro:IPR005495,NCBI_GP:ABG49990.1"
"Tery_2504"	290.738099047504	304.178771556306	269.644882118103	284.9499709593	-0.169135678455518	0.128428172709076	-1.31696710221561	0.187849652051617	0.428578661320942	197	378	287	194	336	331	311	460	265	374	285	197	"    54.58"	"    59.15"	"    53.33"	"    65.00"	"    57.31"	"    61.01"	"    59.23"	"    66.15"	"    69.21"	"    68.09"	"    52.41"	"    56.21"	" 5.80"	" 5.91"	" 5.76"	" 6.04"	" 5.87"	" 5.95"	" 5.91"	" 6.07"	" 6.13"	" 6.11"	" 5.74"	" 5.84"	"Tery_2504"	"gene2526"	"CDS"	3865117	3866100	"+"	"CP000393.1"	"transcriptional regulator%2C GntR family"	"PFAM: regulatory protein GntR%2C HTH~KEGG: ava:Ava_3734 transcriptional regulator%2C GntR family"	"InterPro:IPR000524,NCBI_GP:ABG51711.1"
"Tery_2150"	65.4756644040084	70.2155083169893	54.94437198834	66.5272689937151	-0.358105914032443	0.272171492342564	-1.31573630636422	0.188262563872618	0.429199988175522	46	72	54	61	92	63	63	133	32	75	96	35	"    12.75"	"    11.27"	"    10.03"	"    20.44"	"    15.69"	"    11.61"	"    12.00"	"    19.13"	"     8.36"	"    13.65"	"    17.65"	"     9.99"	" 3.78"	" 3.62"	" 3.46"	" 4.42"	" 4.06"	" 3.66"	" 3.70"	" 4.33"	" 3.23"	" 3.87"	" 4.22"	" 3.46"	"Tery_2150"	"gene2169"	"CDS"	3357736	3358503	"+"	"CP000393.1"	"Methyltransferase type 11"	"PFAM: Methyltransferase type 11 Methyltransferase type 12~KEGG: ava:Ava_2226 hypothetical protein"	"InterPro:IPR000051,InterPro:IPR001601,InterPro:IPR013216,InterPro:IPR013217,NCBI_GP:ABG51384.1"
"Tery_2835"	205.188799010188	223.214686178093	188.780820210693	185.545003473874	-0.230879634010936	0.175631836339039	-1.31456596266094	0.188655815698047	0.429199988175522	101	287	237	128	253	282	225	331	187	246	171	136	"    27.98"	"    44.91"	"    44.04"	"    42.89"	"    43.15"	"    51.98"	"    42.85"	"    47.60"	"    48.84"	"    44.79"	"    31.45"	"    38.81"	" 4.86"	" 5.52"	" 5.49"	" 5.46"	" 5.46"	" 5.73"	" 5.45"	" 5.60"	" 5.64"	" 5.52"	" 5.02"	" 5.31"	"Tery_2835"	"gene2857"	"CDS"	4406496	4406747	"-"	"CP000393.1"	"protein of unknown function DUF370"	"PFAM: protein of unknown function DUF370~KEGG: cyb:CYB_0055 hypothetical protein"	"InterPro:IPR007169,NCBI_GP:ABG52009.1"
"Tery_3487"	988.889521997912	1070.6213935595	891.764401529053	922.5508993436	-0.263679303942511	0.200563401972956	-1.31469301651587	0.188613094537886	0.429199988175522	853	1037	829	989	1111	1045	1093	1456	763	1061	1110	613	"   236.35"	"   162.26"	"   154.05"	"   331.38"	"   189.48"	"   192.62"	"   208.18"	"   209.38"	"   199.28"	"   193.16"	"   204.12"	"   174.92"	" 7.89"	" 7.35"	" 7.28"	" 8.38"	" 7.57"	" 7.60"	" 7.71"	" 7.72"	" 7.65"	" 7.60"	" 7.68"	" 7.46"	"Tery_3487"	"gene3517"	"CDS"	5367357	5372069	"+"	"CP000393.1"	"filamentous haemagglutinin family outer membrane protein"	"TIGRFAM: filamentous haemagglutinin family outer membrane protein~PFAM: surface antigen (D15)  filamentous haemagglutinin-like surface antigen variable number Polypeptide-transport-associated%2C ShlB-type~KEGG: ava:Ava_4426 surface antigen variable number"	"InterPro:IPR000184,InterPro:IPR008638,InterPro:IPR010827,InterPro:IPR013686,NCBI_GP:ABG52577.1"
"Tery_4262"	19.2667965543643	21.1473741684447	15.9667206750243	18.8057172055436	-0.41940832738933	0.31896359789952	-1.31490969549902	0.188540253881672	0.429199988175522	10	17	24	8	25	26	24	33	20	18	16	19	"     2.77"	"     2.66"	"     4.46"	"     2.68"	"     4.26"	"     4.79"	"     4.57"	"     4.75"	"     5.22"	"     3.28"	"     2.94"	"     5.42"	" 1.91"	" 1.87"	" 2.45"	" 1.88"	" 2.40"	" 2.53"	" 2.48"	" 2.52"	" 2.64"	" 2.10"	" 1.98"	" 2.68"	"Tery_4262"	"gene4304"	"CDS"	6574337	6575470	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_3623 hypothetical protein"	"NCBI_GP:ABG53260.1"
"Tery_4785"	23.6628033140127	20.1709055755796	25.8488956690482	28.4605064358432	0.406376012710211	0.308947372198087	1.31535675419066	0.188390032386249	0.429199988175522	16	36	32	21	33	20	16	23	9	35	35	17	"     4.43"	"     5.63"	"     5.95"	"     7.04"	"     5.63"	"     3.69"	"     3.05"	"     3.31"	"     2.35"	"     6.37"	"     6.44"	"     4.85"	" 2.44"	" 2.73"	" 2.80"	" 3.01"	" 2.73"	" 2.23"	" 2.02"	" 2.11"	" 1.74"	" 2.88"	" 2.89"	" 2.55"	"Tery_4785"	"gene4829"	"CDS"	7352883	7355186	"-"	"CP000393.1"	"selenophosphate synthase"	"TIGRFAM: selenide%2C water dikinase~PFAM: FAD-dependent pyridine nucleotide-disulphide oxidoreductase  AIR synthase related protein-like~KEGG: rfr:Rfer_1613 selenide%2C water dikinase"	"InterPro:IPR000408,InterPro:IPR001100,InterPro:IPR001327,InterPro:IPR004536,InterPro:IPR010918,InterPro:IPR013027,NCBI_GP:ABG53736.1"
"Tery_0317"	145.94063747163	133.114724029505	155.079446304271	162.453655523241	0.21795070431714	0.165852474750155	1.31412392034226	0.188804505602893	0.429295312513366	105	225	171	76	173	177	138	202	86	152	211	120	"    29.09"	"    35.21"	"    31.78"	"    25.47"	"    29.51"	"    32.63"	"    26.28"	"    29.05"	"    22.46"	"    27.67"	"    38.80"	"    34.24"	" 4.91"	" 5.18"	" 5.03"	" 4.73"	" 4.93"	" 5.07"	" 4.77"	" 4.91"	" 4.55"	" 4.84"	" 5.31"	" 5.14"	"Tery_0317"	"gene320"	"CDS"	489261	490346	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: noc:Noc_2091 hypothetical protein"	"NCBI_GP:ABG49792.1"
"Tery_4514"	231.765061488834	209.443539222312	240.547338073204	267.625829437509	0.201334706932184	0.153290339743796	1.31342071045499	0.189041222575862	0.429590567979065	183	347	237	152	268	220	230	317	129	285	349	175	"    50.71"	"    54.30"	"    44.04"	"    50.93"	"    45.71"	"    40.55"	"    43.81"	"    45.59"	"    33.69"	"    51.89"	"    64.18"	"    49.94"	" 5.69"	" 5.79"	" 5.49"	" 5.70"	" 5.55"	" 5.38"	" 5.49"	" 5.54"	" 5.12"	" 5.72"	" 6.03"	" 5.67"	"Tery_4514"	"gene4558"	"CDS"	6965009	6965869	"-"	"CP000393.1"	"extracellular solute-binding protein%2C family 3"	"PFAM: extracellular solute-binding protein%2C family 3~KEGG: syn:slr0341 putative polar amino acid transport system substrate-binding protein"	"InterPro:IPR001311,InterPro:IPR001638,NCBI_GP:ABG53499.1"
"Tery_0957"	380.700465828108	406.075806898928	339.098217119299	371.552032395277	-0.262188606661833	0.199909209778825	-1.3115384076197	0.18967592652999	0.430789392457943	315	404	321	342	463	431	401	643	240	440	483	216	"    87.28"	"    63.22"	"    59.65"	"   114.59"	"    78.97"	"    79.44"	"    76.38"	"    92.47"	"    62.68"	"    80.11"	"    88.82"	"    61.64"	" 6.46"	" 6.00"	" 5.92"	" 6.85"	" 6.32"	" 6.33"	" 6.27"	" 6.55"	" 5.99"	" 6.34"	" 6.49"	" 5.97"	"Tery_0957"	"gene963"	"CDS"	1509381	1510454	"-"	"CP000393.1"	"dTDP-glucose 4%2C6-dehydratase"	"TIGRFAM: dTDP-glucose 4%2C6-dehydratase~PFAM: NAD-dependent epimerase/dehydratase 3-beta hydroxysteroid dehydrogenase/isomerase  polysaccharide biosynthesis protein CapD  dTDP-4-dehydrorhamnose reductase  Male sterility-like~KEGG: ava:Ava_2639 dTDP-glucose 4%2C6-dehydratase"	"InterPro:IPR001509,InterPro:IPR002225,InterPro:IPR003869,InterPro:IPR005888,InterPro:IPR005913,InterPro:IPR013120,NCBI_GP:ABG50346.1"
"Tery_2823"	47.8100812495106	48.2593088360952	39.5050844796627	55.2166228461893	-0.282389865639069	0.215565339333467	-1.30999661871535	0.190196979459705	0.431728886181825	25	48	54	32	60	46	51	83	34	61	59	43	"     6.93"	"     7.51"	"    10.03"	"    10.72"	"    10.23"	"     8.48"	"     9.71"	"    11.94"	"     8.88"	"    11.11"	"    10.85"	"    12.27"	" 2.99"	" 3.09"	" 3.46"	" 3.55"	" 3.49"	" 3.24"	" 3.42"	" 3.69"	" 3.30"	" 3.60"	" 3.57"	" 3.73"	"Tery_2823"	"gene2846"	"CDS"	4388852	4389517	"-"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG51999.1"
